reference_day,entry_date,rank,ticker,company,market,signal_score,day_change_pct,market_median_change_pct,value_ratio_20,close_location_pct,lower_tail_recovery_pct,close_vs_open_pct,distance_from_60d_high_pct,entry_gap_pct,backfill_status,backfill_rows,date,signal_time,entry_time,entry_price,target_price,stop_price,exit_time,exit_price,exit_reason,gross_return_pct,net_return_pct,opening_high,opening_low,entry_vwap,note,source_path
2025-06-16,2025-06-17,1,092790,넥스틸,KOSPI,72.51,7.53,0.74,2.07,93.4,7.83,6.22,-16.22,-2.548,collected,381,20250617,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,15300.0,14640.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250617\092790.csv
2025-06-16,2025-06-17,2,950160,코오롱티슈진,KOSDAQ,67.17,12.21,0.0,1.95,92.7,14.07,12.21,-30.27,0.0,collected,380,20250617,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,42550.0,41350.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250617\950160.csv
2025-06-17,2025-06-18,1,086280,현대글로비스,KOSPI,61.45,4.85,-0.35,1.73,91.7,4.58,4.58,-6.55,-0.797,collected,380,20250618,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,125000.0,122900.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250618\086280.csv
2025-06-18,2025-06-19,1,377300,카카오페이,KOSPI,67.91,5.01,0.0,1.69,97.7,7.61,5.56,-5.88,0.0,collected,381,20250619,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,66200.0,62600.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250619\377300.csv
2025-06-19,2025-06-20,1,464080,에스오에스랩,KOSDAQ,71.62,9.79,0.0,2.15,96.4,10.48,8.77,-5.27,0.0,collected,381,20250620,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,14470.0,13950.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250620\464080.csv
2025-06-20,2025-06-23,1,373220,LG에너지솔루션,KOSPI,70.25,4.81,0.12,2.12,93.9,5.35,4.81,-16.44,-2.131,collected,381,20250623,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,300000.0,295000.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250623\373220.csv
2025-06-20,2025-06-23,2,462860,더즌,KOSDAQ,68.55,7.21,0.19,1.61,98.5,13.79,7.76,-54.09,-4.356,collected,381,20250623,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,5380.0,4975.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250623\462860.csv
2025-06-24,2025-06-25,1,348370,엔켐,KOSDAQ,74.9,12.68,1.17,2.01,94.6,9.31,8.93,-32.61,0.0,collected,375,20250625,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,64000.0,60700.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250625\348370.csv
2025-07-02,2025-07-03,1,011170,롯데케미칼,KOSPI,69.45,6.03,0.0,1.82,98.1,8.86,6.2,-6.47,-0.922,collected,381,20250703,093200,093300,65600.0,66780.8,65009.6,095000,66780.8,target_hit,1.8,1.2,65000.0,64100.0,65015.98,,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250703\011170.csv
2025-07-02,2025-07-03,2,009830,한화솔루션,KOSPI,62.42,6.14,0.0,1.88,90.2,5.51,2.31,-13.01,-0.987,collected,381,20250703,092400,092500,35300.0,35935.4,34982.3,100000,35935.4,target_hit,1.8,1.2,35350.0,34750.0,35021.53,,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250703\009830.csv
2025-07-03,2025-07-04,1,204320,HL만도,KOSPI,64.87,2.95,0.59,1.68,100.0,3.71,2.5,-9.35,-0.143,collected,381,20250704,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,34850.0,34550.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250704\204320.csv
2025-07-08,2025-07-09,1,402340,SK스퀘어,KOSPI,65.62,6.73,0.67,1.61,90.4,6.4,6.4,-14.62,-0.925,collected,381,20250709,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,174400.0,169100.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250709\402340.csv
2025-07-10,2025-07-11,1,180640,한진칼,KOSPI,70.74,6.12,0.43,1.61,100.0,6.12,6.12,-21.21,-1.769,collected,381,20250711,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,127700.0,121400.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250711\180640.csv
2025-07-10,2025-07-11,2,373220,LG에너지솔루션,KOSPI,67.29,4.26,0.43,2.02,100.0,3.58,2.75,-9.92,-0.629,collected,381,20250711,091100,091200,320000.0,325760.0,317120.0,092100,317120.0,stop_loss,-0.9,-1.5,320500.0,315500.0,318433.95,,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250711\373220.csv
2025-07-17,2025-07-18,1,128940,한미약품,KOSPI,62.62,4.23,0.0,1.7,92.6,4.41,4.04,-8.78,0.0,collected,381,20250718,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,299500.0,292000.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250718\128940.csv
2025-07-18,2025-07-21,1,052400,코나아이,KOSDAQ,65.1,10.91,-0.22,1.88,92.3,13.38,10.71,-29.07,0.0,collected,380,20250721,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,64700.0,61000.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250721\052400.csv
2025-07-21,2025-07-22,1,071050,한국금융지주,KOSPI,61.19,-0.2,-0.1,1.61,98.1,3.7,3.41,-9.39,0.0,collected,381,20250722,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,152000.0,148900.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250722\071050.csv
2025-07-23,2025-07-24,1,249420,일동제약,KOSPI,67.12,-3.06,-0.12,2.06,91.9,12.38,8.08,-13.45,0.0,collected,378,20250724,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,23800.0,22250.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250724\249420.csv
2025-07-25,2025-07-28,1,329180,HD현대중공업,KOSPI,68.91,5.83,-0.13,2.24,91.9,6.85,5.46,-6.62,0.0,collected,381,20250728,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,486000.0,468000.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250728\329180.csv
2025-07-25,2025-07-28,2,443060,HD현대마린솔루션,KOSPI,68.89,6.64,-0.13,1.7,100.0,7.28,5.0,-8.56,0.0,collected,381,20250728,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,203500.0,195100.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250728\443060.csv
2025-07-29,2025-07-30,1,018290,브이티,KOSDAQ,67.09,8.7,0.0,1.57,98.4,8.85,8.7,-17.67,-1.2,collected,381,20250730,094400,094500,37800.0,38480.4,37459.8,103800,37459.8,stop_loss,-0.9,-1.5,37700.0,37050.0,37650.05,,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250730\018290.csv
2025-07-31,2025-08-01,1,003230,삼양식품,KOSPI,65.04,5.87,0.0,1.72,93.0,5.87,5.8,-6.06,-1.526,collected,381,20250801,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,1434000.0,1409000.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250801\003230.csv
2025-08-06,2025-08-07,1,403870,HPSP,KOSDAQ,67.09,6.96,0.2,1.93,91.5,8.69,6.96,-13.23,-0.558,collected,381,20250807,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,26800.0,26300.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250807\403870.csv
2025-08-06,2025-08-07,2,035900,JYP Ent.,KOSDAQ,65.36,4.11,0.2,1.58,100.0,4.11,3.26,-7.32,0.0,collected,381,20250807,093600,093700,77400.0,78793.2,76703.4,094900,76703.4,stop_loss,-0.9,-1.5,77700.0,75700.0,76594.2,,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250807\035900.csv
2025-08-08,2025-08-11,1,001040,CJ,KOSPI,66.39,6.83,-0.08,2.07,90.4,6.62,6.28,-6.33,-0.302,collected,381,20250811,094500,094600,163900.0,166850.2,162424.9,104800,166850.2,target_hit,1.8,1.2,165400.0,160200.0,163278.84,,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250811\001040.csv
2025-08-14,2025-08-18,1,051900,LG생활건강,KOSPI,58.64,3.04,-0.11,1.56,100.0,3.21,3.04,-14.06,-1.146,collected,377,20250818,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,302000.0,299000.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250818\051900.csv
